mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-151b,NM_001304743,SLK,5133,5166,0.961538461538,-19.6,1,0.03203515,0.691,0.8078726781250001,0.7772088037500001,-4.95700071937229,16,33,11,3UTR,,0,0
hsa-miR-151b,NM_198148,CPXM2,3153,3167,0.961538461538,-17.6,1,0.03226649,0.574,0.645395,0.29130342125,-7.306599539147638,12,14,6,3UTR,,0,0
hsa-miR-151b,NM_001282583,MXRA8,1860,1876,0.961538461538,-20.7,1,7.207565e-05,0.309,2.702118222222222,2.7593189525,-8.237904470243807,14,16,13,3UTR,,0,0
hsa-miR-151b,XM_006710406,MEGF6,5576,5592,0.961538461538,-25.5,1,3.284267e-07,0.353,0.0,0.0,-8.303804028968646,14,16,9,3UTR,,0,0
hsa-miR-151b,NM_001289940,SLC1A3,3532,3577,0.961538461538,-18.2,1,0.01566577,0.603,1.5871464590909092,1.3702434199999998,-3.937574446201665,18,45,8,3UTR,,0,0
hsa-miR-151b,NM_001289939,SLC1A3,3730,3775,0.961538461538,-18.2,1,0.01566577,0.603,1.5871464590909092,1.3702434199999998,-3.937574446201665,18,45,8,3UTR,,0,0
hsa-miR-151b,NM_145648,SLC15A4,2695,2708,0.961538461538,-17.7,1,0.001354616,0.662,0.997118111111111,0.0897611067857142,-8.536853109272258,12,13,12,3UTR,,0,0
hsa-miR-151b,NM_001160125,KLF6,3285,3301,0.961538461538,-19.0,1,7.864123e-05,0.574,2.69095825,2.92966041375,-5.771280865935932,14,16,12,3UTR,,0,0
hsa-miR-151b,NM_001300,KLF6,3409,3425,0.961538461538,-19.0,1,7.864123e-05,0.574,3.94129975,4.32452106375,-5.771280865935932,14,16,12,3UTR,,0,0
hsa-miR-151b,NM_004595,SMS,1440,1456,0.961538461538,-18.4,1,0.07442075,0.765,0.0,0.0,-6.013390377618052,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_001258423,SMS,1281,1297,0.961538461538,-18.4,1,0.07442075,0.765,0.0,0.0,-6.013390377618052,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_001267595,SENP1,3788,3802,0.961538461538,-21.5,1,3.122856e-05,0.515,3.429738666666667,3.14374787875,-8.536853109272258,12,14,9,3UTR,,0,0
hsa-miR-151b,NM_000289,PFKM,2685,2708,0.961538461538,-20.1,1,0.0004501276,0.456,2.4632631111111114,0.9405124625000001,-9.03925358921928,13,17,9,3UTR,,0,0
hsa-miR-151b,XM_005245555,RGS8,2611,2627,0.961538461538,-19.5,1,0.007182385,0.485,0.0,0.0,-10.056828651752419,12,16,7,3UTR,,0,0
hsa-miR-151b,NM_018085,IPO9,9095,9110,0.961538461538,-20.3,1,0.0002030688,0.574,-0.6146462727272728,-0.35248279125,-5.813840636892696,13,15,11,3UTR,,0,0
hsa-miR-151b,NM_001206741,HSD11B1,1168,1183,0.961538461538,-16.8,1,0.0006516285,0.632,0.2239056588888889,0.34464291712500006,-11.18522411940593,12,15,9,3UTR,,0,0
hsa-miR-151b,NM_005525,HSD11B1,1166,1181,0.961538461538,-16.8,1,0.0006516285,0.632,0.15774774000000005,0.515825309,-11.18522411940593,12,15,9,3UTR,,0,0
hsa-miR-151b,NM_001271961,SLC39A1,768,784,0.961538461538,-23.6,1,0.00152627,0.412,0.10447340777777778,0.198822225125,-7.27063564855292,14,16,9,3UTR,,0,0
hsa-miR-151b,NM_001043353,TPM3,1616,1632,0.961538461538,-19.8,1,0.02706737,0.647,0.49508622222222226,0.578116725,-6.5006872542436085,13,16,9,3UTR,,0,0
hsa-miR-151b,NM_001043352,TPM3,1616,1632,0.961538461538,-19.8,1,0.02706737,0.647,0.49508622222222226,0.578116725,-6.5006872542436085,13,16,9,3UTR,,0,0
hsa-miR-151b,NM_004723,ARHGEF2,3488,3522,0.961538461538,-22.6,1,0.1038755,0.412,3.5095719969696972,3.2649792087499994,-4.95700071937229,16,34,11,3UTR,,0,0
hsa-miR-151b,NM_001202498,UBE2H,4474,4491,0.961538461538,-20.8,1,1.318202e-05,0.618,4.750305,5.591560750000001,-12.646173370279776,14,17,12,3UTR,,0,0
hsa-miR-151b,NM_013364,PNMA3,3005,3038,0.961538461538,-22.5,1,8.259272e-05,0.353,0.0,0.0,-3.937574446201665,16,20,10,3UTR,,0,0
hsa-miR-151b,NM_001282535,PNMA3,2884,2917,0.961538461538,-22.5,1,8.259272e-05,0.353,0.0,0.0,-3.937574446201665,16,20,10,3UTR,,0,0
hsa-miR-151b,NM_001018025,MTCP1,1597,1613,0.961538461538,-19.1,1,0.02696823,0.691,0.0,0.0,-5.495113920508112,15,16,15,3UTR,,0,0
hsa-miR-151b,XM_017008044,GPRIN3,3733,3751,0.961538461538,-20.0,1,0.001538383,0.691,0.0,0.0,-5.692450279622925,15,18,8,3UTR,,0,0
hsa-miR-151b,NM_001253884,ALPK1,4136,4150,0.961538461538,-16.4,1,0.001247205,0.632,0.25381553333333334,0.019617489999999994,-8.303804028968646,13,14,13,3UTR,,0,0
hsa-miR-151b,NM_004795,KL,4916,4948,0.961538461538,-20.4,1,0.02611057,0.735,0.6381641333333333,0.4246432299999999,-8.004855389940193,15,32,9,3UTR,,0,0
hsa-miR-151b,NM_006930,SKP1,1593,1606,0.961538461538,-17.6,1,0.001173108,0.618,0.30701751666666666,0.0150853575,-9.546562468637928,12,13,12,3UTR,,0,0
hsa-miR-151b,NM_005903,SMAD5,1831,1850,0.961538461538,-19.2,1,0.002108583,0.691,2.9843781818181823,2.1570828375,-8.056611621014136,15,19,11,3UTR,,0,0
hsa-miR-151b,NM_001001420,SMAD5,1756,1775,0.961538461538,-19.2,1,0.002108583,0.691,2.9843781818181823,2.1570828375,-8.056611621014136,15,19,11,3UTR,,0,0
hsa-miR-151b,NM_001308237,ZZZ3,3543,3572,0.961538461538,-17.4,1,0.0003219134,0.603,4.456499249999999,3.84250956,-6.7842445331743555,16,29,11,3UTR,,0,0
hsa-miR-151b,NM_005668,ST8SIA4,5735,5749,0.961538461538,-20.5,1,0.0001895857,0.588,5.646931375,4.328830946000001,-10.789068936966107,13,14,13,3UTR,,0,0
hsa-miR-151b,XM_011521738,MTMR10,1879,1907,0.961538461538,-19.0,1,0.004219576,0.412,0.0,0.0,-10.352474753541959,11,15,9,3UTR,,0,0
hsa-miR-151b,NM_014683,ULK2,8519,8535,0.961538461538,-20.7,1,6.097431e-06,0.5,6.88696,5.141860675,-8.84191723010447,15,16,15,3UTR,,0,0
hsa-miR-151b,NM_018651,ZKSCAN7,3415,3432,0.961538461538,-18.0,1,0.003732181,0.662,0.0,0.0,-6.7623489216120145,15,17,10,3UTR,,0,0
hsa-miR-151b,XM_017021231,STXBP6,1967,2011,0.961538461538,-20.2,1,0.03104167,0.721,0.0,0.0,-4.906073086755913,14,16,14,3UTR,,0,0
hsa-miR-151b,XM_017021239,STXBP6,1793,1837,0.961538461538,-20.2,1,0.03104167,0.721,0.0,0.0,-4.906073086755913,14,16,14,3UTR,,0,0
hsa-miR-151b,XM_005267992,NPAS3,5295,5310,0.961538461538,-18.4,1,0.006192978,0.676,0.0,0.0,-5.762913004276319,13,15,8,3UTR,,0,0
hsa-miR-151b,XM_011537071,NPAS3,5199,5214,0.961538461538,-18.4,1,0.006192978,0.676,0.0,0.0,-5.762913004276319,13,15,8,3UTR,,0,0
hsa-miR-151b,NM_175619,ZAR1,1352,1370,0.961538461538,-21.2,1,0.0002007819,0.441,0.11280774545454549,0.43209308125000023,-5.813840636892696,15,18,11,3UTR,,0,0
hsa-miR-151b,NM_006224,PITPNA,1753,1776,0.961538461538,-19.5,1,0.0001827854,0.5,0.03491411111111108,0.9306692587500003,-5.413129994833456,14,16,14,3UTR,,0,0
hsa-miR-151b,NM_001320384,C21orf33,899,917,0.961538461538,-20.4,1,1.97385e-05,0.368,0.048724625000000014,0.056051101625000044,-10.131047842770712,15,18,10,3UTR,,0,0
hsa-miR-151b,NM_001286477,C21orf58,1883,1906,0.961538461538,-23.5,1,6.221728e-06,0.324,0.4717201375,-0.5129410325000001,-11.128578504378995,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_007157,ZXDB,2898,2913,0.961538461538,-18.6,1,0.04105796,0.676,0.0,0.0,-5.227013184751041,14,15,14,3UTR,,0,0
hsa-miR-151b,NM_001288767,ARMC5,3257,3275,0.961538461538,-19.7,1,0.001323723,0.426,-0.005489940000000036,0.06846718749999997,-7.27063564855292,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_001105247,ARMC5,3377,3395,0.961538461538,-19.7,1,0.001323723,0.426,0.0,0.0,-7.27063564855292,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_001277077,HOMER1,1791,1810,0.961538461538,-17.4,1,0.003354335,0.676,2.963635714285714,2.8875482925,-10.81379746974183,14,19,7,3UTR,,0,0
hsa-miR-151b,NM_001142546,LUZP1,5826,5842,0.961538461538,-20.5,1,0.0002805744,0.529,5.713939999999999,3.5013133002499996,-6.432556268004081,14,16,12,3UTR,,0,0
hsa-miR-151b,NM_001257409,IKZF3,8498,8513,0.961538461538,-20.8,1,0.001016626,0.397,2.578411,2.5943798,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_001257411,IKZF3,8288,8303,0.961538461538,-20.8,1,0.001016626,0.397,3.0968359999999997,3.09498435,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_001257410,IKZF3,8456,8471,0.961538461538,-20.8,1,0.001016626,0.397,3.6708085714285708,3.1209055500000007,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_001257414,IKZF3,8315,8330,0.961538461538,-20.8,1,0.001016626,0.397,3.2264428571428567,2.749907287500001,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_183228,IKZF3,8549,8564,0.961538461538,-20.8,1,0.001016626,0.397,1.8378044285714288,2.5409172,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_183232,IKZF3,8483,8498,0.961538461538,-20.8,1,0.001016626,0.397,1.3749234285714287,3.085263575,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_183229,IKZF3,8600,8615,0.961538461538,-20.8,1,0.001016626,0.397,3.152380571428572,3.498384125,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_183230,IKZF3,8600,8615,0.961538461538,-20.8,1,0.001016626,0.397,3.152380571428572,3.498384125,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_012481,IKZF3,8717,8732,0.961538461538,-20.8,1,0.001016626,0.397,3.8559591428571425,3.567376200000001,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_001284516,IKZF3,8287,8302,0.961538461538,-20.8,1,0.001016626,0.397,2.6895027142857146,3.1986693125000007,-7.503684728856533,13,15,12,3UTR,,0,0
hsa-miR-151b,NM_003747,TNKS,4832,4846,0.961538461538,-17.6,1,0.001536346,0.471,-0.4064175375,-0.56164451125,-10.835693081304171,13,14,13,3UTR,,0,0
hsa-miR-151b,NM_182687,PKMYT1,2110,2126,0.961538461538,-20.4,1,1.202289e-06,0.353,0.0,0.0,-8.82806429066934,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_001258451,PKMYT1,1936,1952,0.961538461538,-20.4,1,1.202289e-06,0.353,0.0,0.0,-8.82806429066934,14,16,8,3UTR,,0,0
hsa-miR-151b,NM_033126,PSKH2,2135,2149,0.961538461538,-17.9,1,0.0007485127,0.735,3.2759565000000004,2.844237252500001,-8.63469509574027,11,14,8,3UTR,,0,0
hsa-miR-151b,NM_015386,COG4,2775,2818,0.961538461538,-19.6,1,0.008010158,0.712,0.17071863333333334,0.7265074288888888,-4.993964104447428,17,43,9,3UTR,,0,0
hsa-miR-151b,XM_017022941,TMEM170A,1590,1615,0.961538461538,-20.2,1,0.02170392,0.662,0.0,0.0,-4.993964104447428,15,17,15,3UTR,,0,0
hsa-miR-151b,NM_001304996,TMEM170A,1705,1730,0.961538461538,-20.2,1,0.02170392,0.662,0.5619144500000001,0.536495765,-4.993964104447428,15,17,15,3UTR,,0,0
hsa-miR-151b,NM_145254,TMEM170A,1774,1799,0.961538461538,-20.2,1,0.02170392,0.662,0.6537085,0.3931568125,-4.993964104447428,15,17,15,3UTR,,0,0
hsa-miR-151b,NM_021133,RNASEL,3590,3607,0.961538461538,-19.7,1,0.0001906249,0.529,3.278822,0.9057386162499999,-8.517224755033276,14,17,8,3UTR,,0,0
hsa-miR-151b,NM_001172646,PLCB4,4841,4857,0.961538461538,-18.0,1,0.001180354,0.75,4.4892178666666664,2.8938331662499994,-4.906073086755913,14,16,7,3UTR,,0,0
hsa-miR-151b,NM_182797,PLCB4,4652,4668,0.961538461538,-18.0,1,0.001180354,0.75,4.4892178666666664,2.8938331662499994,-4.906073086755913,14,16,7,3UTR,,0,0
hsa-miR-151b,NM_000933,PLCB4,4626,4642,0.961538461538,-18.0,1,0.001180354,0.75,4.4892178666666664,2.8938331662499994,-4.906073086755913,14,16,7,3UTR,,0,0
hsa-miR-151b,NM_005715,UST,2798,2817,0.961538461538,-21.2,1,0.0001896755,0.559,0.1449213,-0.06583378312499992,-6.737620388836292,16,19,8,3UTR,,0,0
hsa-miR-151b,NM_001301268,INAFM2,1636,1651,0.961538461538,-17.1,1,0.00021254,0.544,0.38580716666666665,0.5253551925,-11.13885194640897,12,15,9,3UTR,,0,0
hsa-miR-151b,NM_001277176,WDR72,1187,1205,0.961538461538,-18.4,1,0.02935666,0.765,-0.37582043,-0.23408477250000004,-6.7623489216120145,15,18,10,3UTR,,0,0
hsa-miR-151b,XM_017022061,WDR72,4243,4261,0.961538461538,-18.4,1,0.02935666,0.765,0.0,0.0,-6.7623489216120145,15,18,10,3UTR,,0,0
hsa-miR-151b,NM_005633,SOS1,7667,7686,0.961538461538,-20.3,1,0.005627886,0.647,3.7697753888888883,3.4554298892499995,-9.546562468637928,13,19,10,3UTR,,0,0
hsa-miR-151b,NM_001185054,ADD2,2731,2748,0.961538461538,-17.7,1,7.099487e-06,0.5,3.24431,4.25614318375,-5.1900497996759025,15,17,11,3UTR,,0,0
hsa-miR-151b,NM_001527,HDAC2,1914,1929,0.961538461538,-17.7,1,0.08385952,0.735,-0.3143089285714284,-0.10491436875000001,-4.95700071937229,14,15,14,3UTR,,0,0
hsa-miR-151b,NM_001010852,CLVS2,7977,7993,0.961538461538,-18.6,1,0.005382726,0.662,-0.4215767933333333,-0.16453578500000002,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-151b,XM_011535500,RNF217,3896,3911,0.961538461538,-17.9,1,0.001557441,0.765,0.0,0.0,-4.849714495602881,14,15,14,3UTR,,0,0
hsa-miR-151b,NM_001272077,RIT2,884,914,0.961538461538,-18.2,1,0.00230042,0.676,3.24525,3.3169142749999994,-6.246131332038532,13,17,10,3UTR,,0,0
hsa-miR-151b,XM_024451091,CCBE1,2324,2338,0.961538461538,-18.4,1,0.002195068,0.618,0.0,0.0,-10.352474753541959,11,14,9,3UTR,,0,0
hsa-miR-151b,NM_017852,NLRP2,3392,3405,0.961538461538,-19.5,1,0.02646305,0.412,-0.24940216666666667,-0.272566455,-6.246439457921665,12,13,12,3UTR,,0,0
hsa-miR-151b,NM_001174082,NLRP2,3326,3339,0.961538461538,-19.5,1,0.02646305,0.412,-0.4199601,-0.3516381488875,-6.246439457921665,12,13,12,3UTR,,0,0
hsa-miR-151b,NM_181846,ZSCAN22,2338,2350,0.961538461538,-19.3,1,0.01419341,0.471,-0.7905264285714286,-0.5227629662499998,-7.469185894797857,11,12,11,3UTR,,0,0
hsa-miR-151b,XM_011540270,DYDC2,622,641,0.961538461538,-19.0,1,0.007492739,0.662,0.0,0.0,-6.013390377618052,14,19,8,3UTR,,0,0
hsa-miR-151b,XM_011540268,DYDC2,775,794,0.961538461538,-19.0,1,0.007492739,0.662,0.0,0.0,-6.013390377618052,14,19,8,3UTR,,0,0
hsa-miR-151b,NM_005398,PPP1R3C,2529,2544,0.961538461538,-18.0,1,0.0004788321,0.676,0.0,0.0,-5.1900497996759025,13,15,10,3UTR,,0,0
hsa-miR-151b,NM_173194,KCNIP2,1981,2015,0.961538461538,-20.6,1,0.002961534,0.676,2.939516680000001,2.8032816124999997,-4.95700071937229,15,27,10,3UTR,,0,0
hsa-miR-151b,NM_173800,LVRN,4488,4504,0.969230769231,-19.6,1,0.0001559805,0.426,0.2440355066666667,-0.21272349562499993,-9.546562468637928,14,16,10,3UTR,,0,0
hsa-miR-151b,NM_000131,F7,2622,2640,0.969230769231,-20.3,1,0.002231631,0.515,0.46827557142857146,-0.18508096375,-11.351910670877654,15,18,13,3UTR,,0,0
hsa-miR-151b,NM_019616,F7,2556,2574,0.969230769231,-20.3,1,0.002231631,0.515,0.46827557142857146,-0.18508096375,-11.351910670877654,15,18,13,3UTR,,0,0
hsa-miR-151b,NM_001267554,F7,2370,2388,0.969230769231,-20.3,1,0.002231631,0.515,0.46827557142857146,-0.18508096375,-11.351910670877654,15,18,13,3UTR,,0,0
hsa-miR-151b,NM_001278460,COBLL1,9078,9107,0.971153846154,-23.1,1,0.00199407,0.5,2.6517476666666666,0.8852112436249999,-5.413129994833456,14,17,9,3UTR,,0,0
hsa-miR-151b,NM_001278458,COBLL1,9255,9284,0.971153846154,-23.1,1,0.00199407,0.5,0.37895066666666666,1.36271882,-5.413129994833456,14,17,9,3UTR,,0,0
hsa-miR-151b,NM_152592,SYNE3,10496,10513,0.971153846154,-23.0,1,0.0008472979,0.471,0.39292955000000007,0.06747519249999998,-7.8606057810956464,14,17,8,3UTR,,0,0
hsa-miR-151b,XM_006724170,GRAMD4,4085,4103,0.973626373626,-21.4,1,1.153623e-05,0.397,0.0,0.0,-8.114477724982551,15,18,8,3UTR,,0,0
hsa-miR-151b,NM_015124,GRAMD4,4167,4185,0.973626373626,-21.4,1,1.153623e-05,0.397,0.0,0.0,-8.114477724982551,15,18,8,3UTR,,0,0
hsa-miR-151b,NM_001143784,FES,2302,2315,0.974358974359,-19.8,1,0.000940785,0.382,-0.08851916666666669,-0.16505522750000015,-6.782339277446944,11,13,8,3UTR,,0,0
hsa-miR-151b,NM_001143783,FES,2338,2351,0.974358974359,-19.8,1,0.000940785,0.382,-0.08851916666666669,-0.16505522750000015,-6.782339277446944,11,13,8,3UTR,,0,0
hsa-miR-151b,NM_001282748,TLE4,3452,3470,0.974358974359,-18.6,1,0.003529783,0.588,1.0208591666666669,3.7366122525000005,-9.360193687214407,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_007005,TLE4,3356,3374,0.974358974359,-18.6,1,0.003529783,0.588,1.0208591666666669,3.7366122525000005,-9.360193687214407,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_001282753,TLE4,3149,3167,0.974358974359,-18.6,1,0.003529783,0.588,1.0208591666666669,3.7366122525000005,-9.360193687214407,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_001282749,TLE4,3281,3299,0.974358974359,-18.6,1,0.003529783,0.588,1.0208591666666669,3.7366122525000005,-9.360193687214407,14,18,8,3UTR,,0,0
hsa-miR-151b,NM_001290264,SLC35E2B,2852,2872,0.974358974359,-22.9,1,9.411989e-05,0.309,0.5776663375,0.2752741875,-6.825347112316308,16,20,9,3UTR,,0,0
hsa-miR-151b,NM_001286273,TPT1,749,775,0.974358974359,-22.1,1,0.00900313,0.647,-0.3225592692,-0.29495641237500003,-4.95700071937229,16,26,10,3UTR,,0,0
hsa-miR-151b,NM_001286272,TPT1,988,1014,0.974358974359,-22.1,1,0.00900313,0.647,0.11649600560000001,-0.3119054439999999,-4.95700071937229,16,26,10,3UTR,,0,0
hsa-miR-151b,NM_001198815,MUC22,5813,5827,0.974358974359,-18.5,1,0.001919728,0.5,-0.7671330923076922,-0.38587682999999995,-5.1900497996759025,13,14,13,3UTR,,0,0
hsa-miR-151b,XM_005267310,ANKRD9,2938,2959,0.974358974359,-21.2,1,1.377169e-05,0.279,0.0,0.0,-6.969596721160855,17,21,9,3UTR,,0,0
hsa-miR-151b,XM_024447425,TTC39B,2545,2589,0.974358974359,-20.6,1,0.01194964,0.618,0.0,0.0,-3.793324837357118,17,22,7,3UTR,,0,0
hsa-miR-151b,NM_015044,GGA2,5286,5300,0.974358974359,-19.5,1,0.002663138,0.588,3.252126125,3.9063591912499995,-8.63469509574027,11,14,8,3UTR,,0,0
hsa-miR-151b,NM_030641,APOL6,7432,7458,0.974358974359,-20.1,1,0.001190389,0.618,0.049535399999999986,0.022156832499999966,-3.793324837357118,17,26,10,3UTR,,0,0
hsa-miR-151b,NM_001145464,EXOG,2306,2319,0.974358974359,-17.7,1,0.001540971,0.647,0.004440975,-0.25528947875,-5.618663395431772,12,13,12,3UTR,,0,0
hsa-miR-151b,NM_001199933,SESN1,2472,2490,0.974358974359,-25.6,1,0.0006745414,0.588,3.4345197058823524,3.1637995724999994,-4.95700071937229,16,18,8,3UTR,,0,0
hsa-miR-151b,NM_001300963,CDK19,5842,5858,0.974358974359,-21.1,1,0.001274796,0.515,4.75974,5.734360643125,-6.618099312767468,15,16,15,3UTR,,0,0
hsa-miR-151b,NM_013953,PAX8,1841,1860,0.974358974359,-19.5,1,0.002935174,0.471,0.06185356999999997,0.005498872500000002,-7.7817751947826395,15,19,7,3UTR,,0,0
hsa-miR-151b,NM_003146,SSRP1,2723,2739,0.974358974359,-17.6,1,9.147545e-06,0.471,0.5539368325,0.9714006487500001,-9.33931466908909,14,16,10,3UTR,,0,0
hsa-miR-151b,NM_001561,TNFRSF9,2048,2063,0.980769230769,-19.6,1,0.0005420985,0.485,0.043537899999999984,-0.078930805,-8.145411092473203,13,15,10,3UTR,,0,0
hsa-miR-151b,NM_001243249,NPRL3,2384,2401,0.989010989011,-21.9,1,1.730046e-05,0.397,1.89708175,3.0554712,-6.199507187700468,15,17,8,3UTR,,0,0
hsa-miR-151b,NM_001122742,ESR1,3856,3870,0.989010989011,-22.0,1,4.3883e-06,0.515,0.6845732857142858,0.16928584500000005,-7.6638717654693655,12,14,7,3UTR,,0,0
hsa-miR-151b,NM_001122741,ESR1,3704,3718,0.989010989011,-22.0,1,4.3883e-06,0.515,0.6845732857142858,0.16928584500000005,-7.6638717654693655,12,14,7,3UTR,,0,0
hsa-miR-151b,NM_001122740,ESR1,3747,3761,0.989010989011,-22.0,1,4.3883e-06,0.515,0.6845732857142858,0.16928584500000005,-7.6638717654693655,12,14,7,3UTR,,0,0
hsa-miR-151b,NM_000125,ESR1,3720,3734,0.989010989011,-22.0,1,4.3883e-06,0.515,0.6845732857142858,0.16928584500000005,-7.6638717654693655,12,14,7,3UTR,,0,0
hsa-miR-151b,NM_001330285,TMEM216,828,846,0.989010989011,-21.5,1,6.542542e-07,0.5,0.008898941176470564,0.08740572499999999,-4.95700071937229,16,18,8,3UTR,,0,0
hsa-miR-151b,NM_001173991,TMEM216,823,841,0.989010989011,-21.5,1,6.542542e-07,0.5,0.008898941176470564,0.08740572499999999,-4.95700071937229,16,18,8,3UTR,,0,0
hsa-miR-151b,NM_032420,PCDH1,4301,4317,1.0,-18.4,1,5.193396e-09,0.382,3.938277571428572,3.3046233987500004,-12.106988585367272,12,16,7,3UTR,,0,0
hsa-miR-151b,XM_006714747,GNPDA1,1714,1734,1.0,-23.3,1,0.0007153621,0.544,0.0,0.0,-6.199507187700468,13,15,13,3UTR,,0,0
hsa-miR-151b,XM_024454319,GNPDA1,2055,2075,1.0,-23.3,1,0.0007153621,0.544,0.0,0.0,-6.199507187700468,13,15,13,3UTR,,0,0
hsa-miR-151b,NM_001257205,FGF1,2675,2691,1.0,-19.1,1,0.0003721857,0.721,-0.13399772857142858,0.2503952537500001,-10.074764229339724,13,16,7,3UTR,,0,0
hsa-miR-151b,NM_033136,FGF1,2661,2677,1.0,-19.1,1,0.0003721857,0.721,0.8122010000000001,0.20398118125000006,-10.074764229339724,13,16,7,3UTR,,0,0
hsa-miR-151b,NM_000800,FGF1,2765,2781,1.0,-19.1,1,0.0003721857,0.721,-0.01930701428571428,0.46866606125000004,-10.074764229339724,13,16,7,3UTR,,0,0
hsa-miR-151b,NM_015071,ARHGAP26,2960,2972,1.0,-19.5,1,0.001283982,0.544,1.2422625454545455,0.8984655562499999,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-151b,NM_001135608,ARHGAP26,2795,2807,1.0,-19.5,1,0.001283982,0.544,1.2422625454545455,0.8984655562499999,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-151b,NM_001349547,ARHGAP26,2308,2320,1.0,-19.5,1,0.001283982,0.544,0.398517,0.7324999062500003,-9.779611548941542,11,12,11,3UTR,,0,0
hsa-miR-151b,NM_138492,PRELID2,2511,2527,1.0,-17.5,1,0.02548967,0.559,0.41995242727272725,0.8167460250000002,-6.857959480565336,13,16,9,3UTR,,0,0
hsa-miR-151b,NM_001040173,HTR4,2807,2830,1.0,-16.9,1,0.01376763,0.691,5.889725705882353,4.87526717375,-6.5006872542436085,14,23,7,3UTR,,0,0
